model,developer,release_date,parameters,parameter_source,training_flop,confidence,confidence_explanation,estimation_method,alternative_methods,threshold_classification,status,reasoning,sources,verified,last_updated,blacklist_status,original_estimate,notes
gemini_pro_dev_api,Google,,,,3.00e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,"Benchmark-based (lmarena_score): 1234.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 3.00e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-04T19:46:43.974649,allowed,,
grok_2,xAI,,,,3.00e+25,high,Official disclosure or high-precision research estimate,epoch_estimate,Benchmark Based: 3.77e+25 (Medium),not_sure,confirmed_above_1e25,https://epoch.ai/data-insights/models-over-1e25-flop: High-precision estimate from xAI disclosure,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-04T19:46:43.963714,allowed,,
claude_3.5_haiku,Anthropic,,,,2.97e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 2.84e+25 (Medium); superclue_math: 1.88e+25 (Low); superclue_reasoning: 8.52e+24 (Low); superclue_code: 3.15e+25 (Medium); superclue_agents: 5.07e+25 (Medium) → weighted average: 2.97e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-04T19:46:43.989445,allowed,,
deepseek_v2.5,DeepSeek,,,,2.94e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 3.05e+25 (Medium); superclue_math: 3.12e+25 (Medium); superclue_reasoning: 1.20e+25 (Low); superclue_code: 2.95e+25 (Low); superclue_agents: 3.81e+25 (Medium) → weighted average: 2.94e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-04T19:46:43.964686,allowed,,
gemini_pro,Google,,,,2.91e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,"Benchmark-based (lmarena_score): 1222.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 2.91e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-04T19:46:43.975663,allowed,,
amazon_nova_lite,Amazon,,,,2.86e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.35e+25 (Medium); coding_score: 3.41e+25 (Medium); aai_score: 2.45e+25 (Medium); mmlu_pro_score: 2.22e+25 (Medium) → weighted average: 2.86e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.971569,allowed,,
claude_1,Anthropic,,,,2.82e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 2.92e+25 (Low); coding_score: 2.71e+25 (Low) → weighted average: 2.82e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.990147,allowed,,
marco_o1,OpenAI,,,,2.72e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,Multi-benchmark estimation from 5 benchmarks: superclue_overall: 2.68e+25 (Low); superclue_math: 3.20e+25 (Medium); superclue_reasoning: 1.27e+25 (Low); superclue_code: 1.57e+25 (Low); superclue_agents: 4.00e+25 (Medium) → weighted average: 2.72e+25 FLOP,https://www.superclueai.com/ (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-04T19:46:43.996180,allowed,,
gemini_1.0_pro_001,Google,,,,2.61e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 2.75e+25 (Low); coding_score: 2.47e+25 (Low) → weighted average: 2.61e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.990370,allowed,,
claude_3_sonnet,Anthropic,,,,2.60e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.27e+25 (Medium); coding_score: 3.24e+25 (Medium); aai_score: 1.79e+25 (Medium); mmlu_pro_score: 2.11e+25 (Medium) → weighted average: 2.60e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.969594,allowed,,
gpt_3.5_turbo,OpenAI,,,,2.59e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 2.63e+25 (Low); coding_score: 2.54e+25 (Low) → weighted average: 2.59e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.975795,allowed,,
claude_instant_1,Anthropic,,,,2.58e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: openlm_arena_elo: 2.61e+25 (Low); coding_score: 2.54e+25 (Low) → weighted average: 2.58e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.990521,allowed,,
amazon_nova_micro,Amazon,,,,2.57e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.20e+25 (Medium); coding_score: 3.21e+25 (Medium); aai_score: 1.86e+25 (Medium); mmlu_pro_score: 1.70e+25 (Low) → weighted average: 2.57e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.973455,allowed,,
palm_2,Google,,,,2.37e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,"Benchmark-based (lmarena_score): 1141.0 vs reference llama_3.1_405b (1335.0, 3.80e+25 FLOP) with α=3.0 = 2.37e+25 FLOP",CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-04T19:46:43.983398,allowed,,
claude_3_haiku,Anthropic,,,,2.31e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 3.09e+25 (Medium); coding_score: 3.06e+25 (Medium); aai_score: 1.35e+25 (Medium); mmlu_pro_score: 1.47e+25 (Low) → weighted average: 2.31e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.971286,allowed,,
gemini_1.5_pro,Google,,300000000000.0,known_specification:gemini_1.5_pro,2.16e+25,medium,Known parameters with estimated training tokens,scaling_laws,,not_sure,likely_above_1e25,"Known model specification 'gemini_1.5_pro': Chinchilla scaling law: 6 × 300,000,000,000 params × 12,000,000,000,000 tokens = 2.16e+25 FLOP",https://gair-nlp.github.io/OlympicArena (OlympicArena - Chinese LLM benchmark across STEM subjects),,2025-08-04T19:46:43.986740,allowed,,
gpt_4,OpenAI,,1760000000000.0,known_specification:gpt_4,2.10e+25,medium,Reliable research estimate from industry analysis,epoch_estimate,Scaling Laws: 1.37e+26 (Medium); Benchmark Based: 3.33e+25 (Medium),not_sure,likely_above_1e25,https://epoch.ai/data-insights/models-over-1e25-flop: Low-precision estimate from scaling analysis,CSV file with manually collected leaderboard data (LMArena Manual Data Collection),,2025-08-04T19:46:43.969072,allowed,,
mistral_medium,Mistral,,,,1.97e+25,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,Multi-benchmark estimation from 4 benchmarks: openlm_arena_elo: 2.87e+25 (Low); coding_score: 2.79e+25 (Low); aai_score: 1.20e+25 (Medium); mmlu_pro_score: 1.40e+25 (Low) → weighted average: 1.97e+25 FLOP,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.947970,allowed,,
claude_3_opus,Anthropic,,175000000000.0,known_specification:claude_3_opus,1.60e+25,medium,Reliable research estimate from industry analysis,epoch_estimate,Scaling Laws: 8.40e+24 (Medium); Benchmark Based: 3.34e+25 (Medium),not_sure,likely_above_1e25,https://epoch.ai/data-insights/models-over-1e25-flop: Low-precision estimate from industry analysis,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.965184,allowed,,
llama_3.1_405b_instruct_bf16,Meta,,405000000000.0,extracted_from_name,1.48e+25,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.80e+25 (Medium),not_sure,likely_above_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 405,000,000,000 params × 6,075,000,000,000 tokens = 1.48e+25 FLOP (Modern large model: 405B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.963237,allowed,,
llama_3.1_405b_instruct_fp8,Meta,,405000000000.0,extracted_from_name,1.48e+25,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 3.78e+25 (Medium),not_sure,likely_above_1e25,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 405,000,000,000 params × 6,075,000,000,000 tokens = 1.48e+25 FLOP (Modern large model: 405B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.963436,allowed,,
qwen3_235b,Alibaba,,235000000000.0,known_specification:qwen3_235b,1.41e+25,medium,Known parameters with estimated training tokens,scaling_laws,Benchmark Based: 5.57e+25 (Medium),not_sure,likely_above_1e25,"Known model specification 'qwen3_235b': Chinchilla scaling law: 6 × 235,000,000,000 params × 10,000,000,000,000 tokens = 1.41e+25 FLOP",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.949909,allowed,,
runway_gen_3,Runway,,,,1.10e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Threshold-based (physics_iq_score): 22.8 > sora (10.0) → assumed >1e25 FLOP (reference model assumed frontier-level),https://physics-iq.github.io/ (Physics-IQ - Benchmark for physical understanding in video generation models),,2025-08-04T19:46:43.992345,allowed,,
stable_video_diffusion,Stability AI,,,,1.10e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Threshold-based (physics_iq_score): 14.8 > sora (10.0) → assumed >1e25 FLOP (reference model assumed frontier-level),https://physics-iq.github.io/ (Physics-IQ - Benchmark for physical understanding in video generation models),,2025-08-04T19:46:43.992458,allowed,,
veo_2,Google,,,,1.10e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: video_arena_elo: 1.10e+25 (Medium); video_quality: 1.10e+25 (Medium) → weighted average: 1.10e+25 FLOP,https://artificialanalysis.ai/text-to-video/arena (Artificial Analysis Video Arena - Text-to-video model rankings),,2025-08-04T19:46:43.996760,allowed,,
veo_3_preview,Google,,,,1.10e+25,medium,Good benchmark match with multiple agreeing sources,benchmark_based,,not_sure,likely_above_1e25,Multi-benchmark estimation from 2 benchmarks: video_arena_elo: 1.10e+25 (Medium); video_quality: 1.10e+25 (Medium) → weighted average: 1.10e+25 FLOP,https://artificialanalysis.ai/text-to-video/arena (Artificial Analysis Video Arena - Text-to-video model rankings),,2025-08-04T19:46:43.996457,allowed,,
nemotron_4_340b,Nvidia,,340000000000.0,extracted_from_name,1.04e+25,low,Extracted parameters with uncertain training tokens,scaling_laws,Benchmark Based: 3.23e+25 (Medium),not_sure,uncertain,"Parameter-based Chinchilla scaling: Chinchilla scaling law: 6 × 340,000,000,000 params × 5,100,000,000,000 tokens = 1.04e+25 FLOP (Generic estimate: 340B params * 15 tokens/param)",https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:43.969845,allowed,,
doubao_pro_256k,ByteDance,,,,9.9e+24,low,Distant benchmark interpolation or single source,benchmark_based,Benchmark Based: 4.27e+25 (Medium),not_sure,uncertain,FLOP estimate capped at 9.9e+24 due to developer blacklist policy: Limited disclosure on training methodology and data sources for frontier models. Original estimate: 4.27e+25 FLOP (Multi-benchmark estimation from 5 benchmarks: superclue_overall: 4.16e+25 (Medium); superclue_math: 4.12e+25 (Medium); superclue_reasoning: 4.01e+25 (Medium); superclue_code: 4.81e+25 (Medium); superclue_agents: 4.27e+25 (Medium) → weighted average: 4.27e+25 FLOP),https://www.supercluebench.com/leaderboard (SuperCLUE - Comprehensive Chinese language understanding benchmark),,2025-08-04T16:03:15.514626,capped,4.2699999999999995e+25,
sora_i2v,Unknown,,,,9.9e+24,low,Distant benchmark interpolation or single source,benchmark_based,,not_sure,uncertain,Threshold-based (physics_iq_score): 10.0 < sora (10.0) → scaled estimate 9.90e+24 FLOP (α=2.0),https://physics-iq.github.io/ (Physics-IQ - Benchmark for physical understanding in video generation models),,2025-08-04T16:03:15.513763,allowed,,
doubao_lite_32k,ByteDance,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://github.com/openai/open-agent-leaderboard (Open Agent Leaderboard - Multi-task agent performance evaluation),,2025-08-04T14:10:04.589866,allowed,,
doubao_lite_4k,ByteDance,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://gair-nlp.github.io/OlympicArena (OlympicArena - Chinese LLM benchmark across STEM subjects),,2025-08-04T14:10:03.915468,allowed,,
doubao_pro_128k,ByteDance,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://github.com/openai/open-agent-leaderboard (Open Agent Leaderboard - Multi-task agent performance evaluation),,2025-08-04T14:10:04.589912,allowed,,
doubao_pro_32k,ByteDance,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://gair-nlp.github.io/OlympicArena (OlympicArena - Chinese LLM benchmark across STEM subjects),,2025-08-04T14:10:03.915417,allowed,,
gemini_1.0_pro,Google,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://gair-nlp.github.io/OlympicArena (OlympicArena - Chinese LLM benchmark across STEM subjects),,2025-08-04T19:46:32.159097,allowed,,
hunyuan_standard_vision,Tencent,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:32.611230,allowed,,
pangu_ultra,Unknown,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://gair-nlp.github.io/OlympicArena (OlympicArena - Chinese LLM benchmark across STEM subjects),,2025-08-04T14:10:03.915579,allowed,,
qwen_vl_max,Alibaba,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:32.610974,allowed,,
step_1o_vision_32k,StepFun,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:32.610906,allowed,,
step_1v_32k,StepFun,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:32.611077,allowed,,
yi_large_turbo,01 AI,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://llmbench.github.io/ChineseSimpleQA/ (ChineseSimpleQA - Question answering benchmark for Chinese LLMs),,2025-08-04T14:10:03.623272,allowed,,
yi_vision,01 AI,,,,,speculative,Speculative confidence from manual research method,manual_research,,not_sure,uncertain,,https://openlm.ai/chatbot-arena/ (OpenLM Chatbot Arena leaderboard),,2025-08-04T19:46:32.611291,allowed,,
